template_id,source,category,category_name,variable_name,dataset,key_template,filters_json_template,scope,unit_measure_filter,frequency,start_period,transformationcode
IP_001,eurostat,1,Industrial_production,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",country,,,2003-01,5
IP_003,eurostat,1,Industrial_production,IP mining and quarrying (B),STS_INPR_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B""}",country,,,2003-01,5
IP_004,eurostat,1,Industrial_production,IP manufacturing (C),STS_INPR_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""C""}",country,,,2003-01,5
IP_005,eurostat,1,Industrial_production,IP electricity/gas/steam/aircon (D),STS_INPR_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""D""}",country,,,2003-01,5
IP_007,eurostat,1,Industrial_production,IP MIG intermediate goods,STS_INPR_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""MIG_ING""}",country,,,2003-01,5
IP_008,eurostat,1,Industrial_production,IP MIG capital goods,STS_INPR_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""MIG_CAG""}",country,,,2003-01,5
IP_009,eurostat,1,Industrial_production,IP MIG durable consumer goods,STS_INPR_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""MIG_DCOG""}",country,,,2003-01,5
IP_010,eurostat,1,Industrial_production,IP MIG non-durable consumer goods,STS_INPR_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""MIG_NDCOG""}",country,,,2003-01,5
IP_011,eurostat,1,Industrial_production,IP consumer goods industry,STS_INPR_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""MIG_COG""}",country,,,2003-01,5
IP_012,eurostat,1,Industrial_production,IP MIG energy (excl section E),STS_INPR_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""MIG_NRG_X_E""}",country,,,2003-01,5
IP_002,eurostat,1,Industrial_production,Construction production index (F),STS_COPR_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""F""}",country,,,2003-01,5
IP_006,eurostat,1,Industrial_production,Construction: all buildings (F41),STS_COPR_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""F41""}",country,,,2003-01,5
LAB_WAGE_001,eurostat,2,Labor_market_indicators,Wages MIG intermediate goods,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""WAGE"", ""nace_r2"": ""MIG_ING""}",country,,,2003-01,5
LAB_WAGE_002,eurostat,2,Labor_market_indicators,Wages MIG capital goods,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""WAGE"", ""nace_r2"": ""MIG_CAG""}",country,,,2003-01,5
LAB_WAGE_003,eurostat,2,Labor_market_indicators,Wages MIG durable consumer goods,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""WAGE"", ""nace_r2"": ""MIG_DCOG""}",country,,,2003-01,5
LAB_WAGE_004,eurostat,2,Labor_market_indicators,Wages MIG non-durable consumer goods,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""WAGE"", ""nace_r2"": ""MIG_NDCOG""}",country,,,2003-01,5
LAB_WAGE_005,eurostat,2,Labor_market_indicators,Wages MIG energy,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""WAGE"", ""nace_r2"": ""MIG_NRG""}",country,,,2003-01,5
LAB_EMP_001,eurostat,2,Labor_market_indicators,Employment mining and quarrying,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""EMP"", ""nace_r2"": ""B""}",country,,,2003-01,5
LAB_EMP_002,eurostat,2,Labor_market_indicators,Employment manufacturing,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""EMP"", ""nace_r2"": ""C""}",country,,,2003-01,5
LAB_EMP_003,eurostat,2,Labor_market_indicators,Employment electricity/gas,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""EMP"", ""nace_r2"": ""D""}",country,,,2003-01,5
LAB_EMP_004,eurostat,2,Labor_market_indicators,Employment total industry excl construction,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""EMP"", ""nace_r2"": ""B-E36""}",country,,,2003-01,5
LAB_EMP_005,eurostat,2,Labor_market_indicators,Employment MIG intermediate goods,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""EMP"", ""nace_r2"": ""MIG_ING""}",country,,,2003-01,5
LAB_EMP_006,eurostat,2,Labor_market_indicators,Employment MIG capital goods,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""EMP"", ""nace_r2"": ""MIG_CAG""}",country,,,2003-01,5
LAB_EMP_007,eurostat,2,Labor_market_indicators,Employment MIG durable consumer goods,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""EMP"", ""nace_r2"": ""MIG_DCOG""}",country,,,2003-01,5
LAB_EMP_008,eurostat,2,Labor_market_indicators,Employment MIG non-durable consumer goods,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""EMP"", ""nace_r2"": ""MIG_NDCOG""}",country,,,2003-01,5
LAB_EMP_010,eurostat,2,Labor_market_indicators,Employment MIG energy,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""EMP"", ""nace_r2"": ""MIG_NRG""}",country,,,2003-01,5
LAB_HW_001,eurostat,2,Labor_market_indicators,Hours worked mining and quarrying,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""HW"", ""nace_r2"": ""B""}",country,,,2003-01,5
LAB_HW_002,eurostat,2,Labor_market_indicators,Hours worked manufacturing,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""HW"", ""nace_r2"": ""C""}",country,,,2003-01,5
LAB_HW_003,eurostat,2,Labor_market_indicators,Hours worked electricity/gas,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""HW"", ""nace_r2"": ""D""}",country,,,2003-01,5
LAB_HW_004,eurostat,2,Labor_market_indicators,Hours worked total industry excl construction,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""HW"", ""nace_r2"": ""B-E36""}",country,,,2003-01,5
LAB_HW_005,eurostat,2,Labor_market_indicators,Hours worked MIG intermediate goods,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""HW"", ""nace_r2"": ""MIG_ING""}",country,,,2003-01,5
LAB_HW_006,eurostat,2,Labor_market_indicators,Hours worked MIG capital goods,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""HW"", ""nace_r2"": ""MIG_CAG""}",country,,,2003-01,5
LAB_HW_007,eurostat,2,Labor_market_indicators,Hours worked MIG durable consumer goods,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""HW"", ""nace_r2"": ""MIG_DCOG""}",country,,,2003-01,5
LAB_HW_008,eurostat,2,Labor_market_indicators,Hours worked MIG non-durable consumer goods,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""HW"", ""nace_r2"": ""MIG_NDCOG""}",country,,,2003-01,5
LAB_HW_010,eurostat,2,Labor_market_indicators,Hours worked MIG energy,STS_INLB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""HW"", ""nace_r2"": ""MIG_NRG""}",country,,,2003-01,5
LAB_EMP_011,eurostat,2,Labor_market_indicators,Employment accommodation & food services (I),STS_SELB_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""indic_bt"": ""EMP"", ""nace_r2"": ""I""}",country,,,2003-01,5
UNEMP_001,eurostat,2,Labor_market_indicators,Unemployment rate total,UNE_RT_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""SA"", ""unit"": ""PC_ACT"", ""age"": ""TOTAL"", ""sex"": ""T"", ""startPeriod"": 2003}",country,,,2003-01,2
PPI_001,eurostat,3,Prices,PPI manufacturing,STS_INPP_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""NSA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""C""}",country,,,2003-01,5
PPI_002,eurostat,3,Prices,PPI total industry excl construction,STS_INPP_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""NSA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-E36""}",country,,,2003-01,5
PPI_003,eurostat,3,Prices,PPI MIG intermediate goods,STS_INPP_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""NSA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""MIG_ING""}",country,,,2003-01,5
PPI_004,eurostat,3,Prices,PPI MIG capital goods,STS_INPP_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""NSA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""MIG_CAG""}",country,,,2003-01,5
PPI_005,eurostat,3,Prices,PPI MIG durable consumer goods,STS_INPP_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""NSA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""MIG_DCOG""}",country,,,2003-01,5
PPI_006,eurostat,3,Prices,PPI MIG non-durable consumer goods,STS_INPP_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""NSA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""MIG_NDCOG""}",country,,,2003-01,5
PPI_007,eurostat,3,Prices,PPI consumer goods industry,STS_INPP_M,,"{""geo"": ""{COUNTRY_EUROSTAT}"", ""s_adj"": ""NSA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""MIG_COG""}",country,,,2003-01,5
