series_id,country_iso2,category,category_name,variable_name,source,series_key,frequency,unit,seasonal_adj,transform,start_date,end_date,notes
DE_IND_PROD_001,DE,1,Industrial_production,Industrial Production Index - Total Industry,eurostat,STS_M_DE_PROD,M,Index,SA,level,2003-01,,Seasonally adjusted total industry
DE_IND_PROD_002,DE,1,Industrial_production,Industrial Production Index - Manufacturing,eurostat,STS_M_DE_PROD_MFG,M,Index,SA,level,2003-01,,Manufacturing sector
DE_IND_PROD_003,DE,1,Industrial_production,Industrial Production Index - Construction,eurostat,STS_M_DE_CONST,M,Index,SA,level,2003-01,,Construction sector
DE_IND_PROD_004,DE,1,Industrial_production,Industrial Production Index - Energy,eurostat,STS_M_DE_ENERGY,M,Index,SA,level,2003-01,,Energy sector
DE_LAB_EMP_001,DE,2,Labor_market_indicators,Employment Index - Total,eurostat,STS_M_DE_EMPL,M,Index,SA,level,2003-01,,Total employment
DE_LAB_UNEMP_001,DE,2,Labor_market_indicators,Unemployment Rate,eurostat,UNE_RT_M_DE,M,Percent,SA,level,2003-01,,Harmonized unemployment rate
DE_LAB_HOURS_001,DE,2,Labor_market_indicators,Hours Worked Index,eurostat,STS_M_DE_HOURS,M,Index,SA,level,2003-01,,Hours worked in industry
DE_PRICE_PPI_001,DE,3,Prices,Producer Price Index - Total,eurostat,STS_M_DE_PPI,M,Index,NSA,level,2003-01,,Domestic market PPI
DE_PRICE_HICP_001,DE,3,Prices,HICP - Overall Index,eurostat,HICP_M_DE,M,Index,NSA,level,2003-01,,Harmonized Index of Consumer Prices
DE_PRICE_IMP_001,DE,3,Prices,Import Price Index,eurostat,STS_M_DE_IMP_PPI,M,Index,NSA,level,2003-01,,Import prices
DE_ACT_CAR_001,DE,4,Activity_indicators,Car Registrations,eurostat,STS_M_DE_CAR_REG,M,Thousands,NSA,level,2003-01,,New passenger car registrations
DE_ACT_BUILD_001,DE,4,Activity_indicators,Building Permits,eurostat,STS_M_DE_BUILD,M,Index,SA,level,2003-01,,Building permits issued
DE_TRADE_EXP_001,DE,5,Trade,Exports - Total Goods,eurostat,TRADE_M_DE_EXP,M,EUR millions,NSA,level,2003-01,,Total goods exports
DE_TRADE_IMP_001,DE,5,Trade,Imports - Total Goods,eurostat,TRADE_M_DE_IMP,M,EUR millions,NSA,level,2003-01,,Total goods imports
DE_SENT_ESI_001,DE,6,Sentiment,Economic Sentiment Indicator,eurostat,ESI_M_DE,M,Index,NSA,level,2003-01,,Economic sentiment indicator
DE_SENT_CONS_001,DE,6,Sentiment,Consumer Confidence,eurostat,CONS_CONF_M_DE,M,Balance,NSA,level,2003-01,,Consumer confidence indicator
DE_SENT_IND_001,DE,6,Sentiment,Industrial Confidence,eurostat,IND_CONF_M_DE,M,Balance,NSA,level,2003-01,,Industrial confidence indicator
DE_FIN_RATE_001,DE,7,Financial_data,Long-term Interest Rate,ecb,IRS_M_DE_10Y,M,Percent,NSA,level,2003-01,,10-year government bond yield
DE_FIN_LOAN_001,DE,7,Financial_data,Loans to Households,ecb,MFI_M_DE_LOAN_HH,M,EUR millions,NSA,level,2003-01,,MFI loans to households
DE_FIN_STOCK_001,DE,7,Financial_data,Stock Price Index - DAX,oecd,SHARE_PRICE_DE,M,Index,NSA,level,2003-01,,DAX stock market index
