series_id,source,category,category_name,country_iso2,variable_name,dataset,key,filters_json,unit_measure_filter,frequency,start_period
AT_IP_001,eurostat,1,Industrial_production,AT,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""AT"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",,,2003-01
BE_IP_001,eurostat,1,Industrial_production,BE,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""BE"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",,,2003-01
CY_IP_001,eurostat,1,Industrial_production,CY,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""CY"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",,,2003-01
DE_IP_001,eurostat,1,Industrial_production,DE,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""DE"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",,,2003-01
EE_IP_001,eurostat,1,Industrial_production,EE,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""EE"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",,,2003-01
ES_IP_001,eurostat,1,Industrial_production,ES,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""ES"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",,,2003-01
FI_IP_001,eurostat,1,Industrial_production,FI,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""FI"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",,,2003-01
FR_IP_001,eurostat,1,Industrial_production,FR,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""FR"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",,,2003-01
GR_IP_001,eurostat,1,Industrial_production,GR,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""EL"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",,,2003-01
IE_IP_001,eurostat,1,Industrial_production,IE,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""IE"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",,,2003-01
IT_IP_001,eurostat,1,Industrial_production,IT,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""IT"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",,,2003-01
LT_IP_001,eurostat,1,Industrial_production,LT,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""LT"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",,,2003-01
LU_IP_001,eurostat,1,Industrial_production,LU,IP total industry excl construction (B-D),STS_INPR_M,,"{""geo"": ""LU"", ""s_adj"": ""SCA"", ""unit"": ""I21"", ""startPeriod"": 2003, ""nace_r2"": ""B-D""}",,,2003-01
